KeyValuePair`2,KeyValuePair`2.Key,KeyValuePair`2.Value
"[PRC6850D, System.Collections.Generic.List`1[System.String]]",PRC6850D,"[LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.COBOL...]"
"[PRC6931R, System.Collections.Generic.List`1[System.String]]",PRC6931R,"[LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.COBOL...]"
"[PRC6932R, System.Collections.Generic.List`1[System.String]]",PRC6932R,"[LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.COBOL...]"
"[PRC6933R, System.Collections.Generic.List`1[System.String]]",PRC6933R,"[LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.COBOL...]"
"[PRC6934R, System.Collections.Generic.List`1[System.String]]",PRC6934R,"[LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.COBOL...]"
"[PRC6935R, System.Collections.Generic.List`1[System.String]]",PRC6935R,"[LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.COBOL...]"
"[PRC6940D, System.Collections.Generic.List`1[System.String]]",PRC6940D,"[LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.COBOL...]"
"[PRC6970D, System.Collections.Generic.List`1[System.String]]",PRC6970D,"[LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.COBOL...]"
"[PRC6971D, System.Collections.Generic.List`1[System.String]]",PRC6971D,"[LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.COBOL...]"
"[PRC6980D, System.Collections.Generic.List`1[System.String]]",PRC6980D,"[LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.COBOL...]"
"[PRC8210D, System.Collections.Generic.List`1[System.String]]",PRC8210D,"[LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.COBOL...]"
"[SOS0700D, System.Collections.Generic.List`1[System.String]]",SOS0700D,"[LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.COBOL...]"
"[SOS0710D, System.Collections.Generic.List`1[System.String]]",SOS0710D,"[LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.COBOL...]"
"[SOS0770D, System.Collections.Generic.List`1[System.String]]",SOS0770D,"[LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.COBOL...]"
"[SOS0800D, System.Collections.Generic.List`1[System.String]]",SOS0800D,"[LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.COBOL...]"
"[SOS5000D, System.Collections.Generic.List`1[System.String]]",SOS5000D,"[LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.COBOL...]"
"[SOS5010D, System.Collections.Generic.List`1[System.String]]",SOS5010D,"[LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.COBOL...]"
"[SOS5100D, System.Collections.Generic.List`1[System.String]]",SOS5100D,"[LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.COBOL...]"
"[SOS5400D, System.Collections.Generic.List`1[System.String]]",SOS5400D,"[LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.COBOL...]"
"[SOS5500D, System.Collections.Generic.List`1[System.String]]",SOS5500D,"[LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.COBOL...]"
"[SOS6000D, System.Collections.Generic.List`1[System.String]]",SOS6000D,"[LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.COBOL...]"
"[SOS6001D, System.Collections.Generic.List`1[System.String]]",SOS6001D,"[LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.Assembler, LIBRARY.COBOL, LIBRARY.COBOL, LIBRARY.COBOL...]"
